Category,sub1,sub2,sub3,Role,Range,Display Role,Exp
Banking & Financial Services,General,Private Equity & Venture Capital,Global Fund,Associate_Banking_and_Financial_Services_General_Private_Equity_and_Venture_Capital_Global_Fund,60 - 120,"Associate in General, Private Equity & Venture Capital, Global Fund",
Banking & Financial Services,General,Private Equity & Venture Capital,Global Fund,VP_Banking_and_Financial_Services_General_Private_Equity_and_Venture_Capital_Global_Fund,130 - 200,"VP in General, Private Equity & Venture Capital, Global Fund",
Banking & Financial Services,General,Private Equity & Venture Capital,Global Fund,Director_Banking_and_Financial_Services_General_Private_Equity_and_Venture_Capital_Global_Fund,185 - 400,"Director in General, Private Equity & Venture Capital, Global Fund",
Banking & Financial Services,General,Private Equity & Venture Capital,Global Fund,Managing_Dir._Banking_and_Financial_Services_General_Private_Equity_and_Venture_Capital_Global_Fund,400 - 600,"Managing Dir. in General, Private Equity & Venture Capital, Global Fund",
Banking & Financial Services,General,Private Equity & Venture Capital,Fund Size USD 500M - USD 1B,Associate_Banking_and_Financial_Services_General_Private_Equity_and_Venture_Capital_Fund_Size_USD_500M_-_USD_1B,40 - 70,"Associate in General, Private Equity & Venture Capital, Fund Size USD 500M - USD 1B",
Banking & Financial Services,General,Private Equity & Venture Capital,Fund Size USD 500M - USD 1B,VP_Banking_and_Financial_Services_General_Private_Equity_and_Venture_Capital_Fund_Size_USD_500M_-_USD_1B,75 - 120,"VP in General, Private Equity & Venture Capital, Fund Size USD 500M - USD 1B",
Banking & Financial Services,General,Private Equity & Venture Capital,Fund Size USD 500M - USD 1B,Director_Banking_and_Financial_Services_General_Private_Equity_and_Venture_Capital_Fund_Size_USD_500M_-_USD_1B,120 - 200,"Director in General, Private Equity & Venture Capital, Fund Size USD 500M - USD 1B",
Banking & Financial Services,General,Private Equity & Venture Capital,Fund Size USD 500M - USD 1B,Managing_Dir._Banking_and_Financial_Services_General_Private_Equity_and_Venture_Capital_Fund_Size_USD_500M_-_USD_1B,150 - 280,"Managing Dir. in General, Private Equity & Venture Capital, Fund Size USD 500M - USD 1B",
Banking & Financial Services,General,Private Equity & Venture Capital,Fund Size,Associate_Banking_and_Financial_Services_General_Private_Equity_and_Venture_Capital_Fund_Size,30 - 50,"Associate in General, Private Equity & Venture Capital, Fund Size",
Banking & Financial Services,General,Private Equity & Venture Capital,Fund Size,VP_Banking_and_Financial_Services_General_Private_Equity_and_Venture_Capital_Fund_Size,50 - 80,"VP in General, Private Equity & Venture Capital, Fund Size",
Banking & Financial Services,General,Private Equity & Venture Capital,Fund Size,Director_Banking_and_Financial_Services_General_Private_Equity_and_Venture_Capital_Fund_Size,75 - 120,"Director in General, Private Equity & Venture Capital, Fund Size",
Banking & Financial Services,General,Private Equity & Venture Capital,Fund Size,Managing_Dir._Banking_and_Financial_Services_General_Private_Equity_and_Venture_Capital_Fund_Size,120 - 200,"Managing Dir. in General, Private Equity & Venture Capital, Fund Size",
Banking & Financial Services,General,MNC Banks,Corporate Finance / M&A,Associate_Banking_and_Financial_Services_General_MNC_Banks_Corporate_Finance___MandA,55 - 90,"Associate in General, MNC Banks, Corporate Finance / M&A",
Banking & Financial Services,General,MNC Banks,Corporate Finance / M&A,VP_Banking_and_Financial_Services_General_MNC_Banks_Corporate_Finance___MandA,100 - 150,"VP in General, MNC Banks, Corporate Finance / M&A",
Banking & Financial Services,General,MNC Banks,Corporate Finance / M&A,Director_Banking_and_Financial_Services_General_MNC_Banks_Corporate_Finance___MandA,160 - 220,"Director in General, MNC Banks, Corporate Finance / M&A",
Banking & Financial Services,General,MNC Banks,Corporate Finance / M&A,Managing_Dir._Banking_and_Financial_Services_General_MNC_Banks_Corporate_Finance___MandA,250 - 400,"Managing Dir. in General, MNC Banks, Corporate Finance / M&A",
Banking & Financial Services,General,Domestic Financial Institutions,Corporate Finance / M&A,Associate_Banking_and_Financial_Services_General_Domestic_Financial_Institutions_Corporate_Finance___MandA,28 - 45,"Associate in General, Domestic Financial Institutions, Corporate Finance / M&A",
Banking & Financial Services,General,Domestic Financial Institutions,Corporate Finance / M&A,VP_Banking_and_Financial_Services_General_Domestic_Financial_Institutions_Corporate_Finance___MandA,45 - 85,"VP in General, Domestic Financial Institutions, Corporate Finance / M&A",
Banking & Financial Services,General,Domestic Financial Institutions,Corporate Finance / M&A,Director_Banking_and_Financial_Services_General_Domestic_Financial_Institutions_Corporate_Finance___MandA,80 - 105,"Director in General, Domestic Financial Institutions, Corporate Finance / M&A",
Banking & Financial Services,General,Domestic Financial Institutions,Corporate Finance / M&A,Managing_Dir._Banking_and_Financial_Services_General_Domestic_Financial_Institutions_Corporate_Finance___MandA,110 - 200,"Managing Dir. in General, Domestic Financial Institutions, Corporate Finance / M&A",
Banking & Financial Services,Private Banking,MNC Banks,Private Banker,Associate_Banking_and_Financial_Services_Private_Banking_MNC_Banks_Private_Banker,15 - 30,"Associate in Private Banking, MNC Banks, Private Banker",
Banking & Financial Services,Private Banking,MNC Banks,Private Banker,VP_Banking_and_Financial_Services_Private_Banking_MNC_Banks_Private_Banker,30 - 70,"VP in Private Banking, MNC Banks, Private Banker",
Banking & Financial Services,Private Banking,MNC Banks,Private Banker,Director_Banking_and_Financial_Services_Private_Banking_MNC_Banks_Private_Banker,50 - 120,"Director in Private Banking, MNC Banks, Private Banker",
Banking & Financial Services,Private Banking,MNC Banks,Private Banker,Managing_Dir._Banking_and_Financial_Services_Private_Banking_MNC_Banks_Private_Banker,130 - 225,"Managing Dir. in Private Banking, MNC Banks, Private Banker",
Banking & Financial Services,Private Banking,Domestic Financial Institutions,Banks,Associate_Banking_and_Financial_Services_Private_Banking_Domestic_Financial_Institutions_Banks,Oct-20,"Associate in Private Banking, Domestic Financial Institutions, Banks",
Banking & Financial Services,Private Banking,Domestic Financial Institutions,Banks,VP_Banking_and_Financial_Services_Private_Banking_Domestic_Financial_Institutions_Banks,20 - 60,"VP in Private Banking, Domestic Financial Institutions, Banks",
Banking & Financial Services,Private Banking,Domestic Financial Institutions,Banks,Director_Banking_and_Financial_Services_Private_Banking_Domestic_Financial_Institutions_Banks,60 - 90,"Director in Private Banking, Domestic Financial Institutions, Banks",
Banking & Financial Services,Private Banking,Domestic Financial Institutions,Banks,Managing_Dir._Banking_and_Financial_Services_Private_Banking_Domestic_Financial_Institutions_Banks,100 - 150,"Managing Dir. in Private Banking, Domestic Financial Institutions, Banks",
Banking & Financial Services,Private Banking,Domestic Financial Institutions,Non Banks,Associate_Banking_and_Financial_Services_Private_Banking_Domestic_Financial_Institutions_Non_Banks,Oct-25,"Associate in Private Banking, Domestic Financial Institutions, Non Banks",
Banking & Financial Services,Private Banking,Domestic Financial Institutions,Non Banks,VP_Banking_and_Financial_Services_Private_Banking_Domestic_Financial_Institutions_Non_Banks,25 - 70,"VP in Private Banking, Domestic Financial Institutions, Non Banks",
Banking & Financial Services,Private Banking,Domestic Financial Institutions,Non Banks,Director_Banking_and_Financial_Services_Private_Banking_Domestic_Financial_Institutions_Non_Banks,70 - 90,"Director in Private Banking, Domestic Financial Institutions, Non Banks",
Banking & Financial Services,Private Banking,Domestic Financial Institutions,Non Banks,Managing_Dir._Banking_and_Financial_Services_Private_Banking_Domestic_Financial_Institutions_Non_Banks,100 - 130,"Managing Dir. in Private Banking, Domestic Financial Institutions, Non Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Sales Function),MNC Banks,Associate_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Sales_Function)_MNC_Banks,25 - 45,"Associate in Private Banking, Corporate Banking (Sales Function), MNC Banks",
Banking & Financial Services,Private Banking,Corporate Banking (Sales Function),MNC Banks,VP_Banking_and_Financial_Services_Private_Banking_Corporate_Banking_(Sales_Function)_MNC_Banks,50 - 75,"VP in Private Banking, Corporate Banking (Sales Function), MNC Banks",
