,Category,sub1,sub2,Exp,Range,Role,Display Role
0,Finance & Accounting,General,"CFO / Finance Director 10,000 Cr+",15+ years,175 - 800,"Finance_and_Accounting_General_CFO___Finance_Director_10,000_Cr+","General CFO / Finance Director 10,000 Cr+"
1,Finance & Accounting,General,"CFO / Finance Director 1,000 Cr - 10,000 Cr",15+ years,150 - 400,"Finance_and_Accounting_General_CFO___Finance_Director_1,000_Cr_-_10,000_Cr","General CFO / Finance Director 1,000 Cr - 10,000 Cr"
2,Finance & Accounting,General,"CFO / Finance Director 200 Cr - 1,000 Cr",10 - 15 years,75 - 120,"Finance_and_Accounting_General_CFO___Finance_Director_200_Cr_-_1,000_Cr","General CFO / Finance Director 200 Cr - 1,000 Cr"
3,Finance & Accounting,General,"CFO / Finance Director 200 Cr - 1,000 Cr",15+ years,85 - 200,"Finance_and_Accounting_General_CFO___Finance_Director_200_Cr_-_1,000_Cr","General CFO / Finance Director 200 Cr - 1,000 Cr"
4,Finance & Accounting,General,CFO with Fund Raising / IPO,10 - 15 years,95 - 160,Finance_and_Accounting_General_CFO_with_Fund_Raising___IPO,General CFO with Fund Raising / IPO
5,Finance & Accounting,General,CFO with Fund Raising / IPO,15+ years,120 - 300,Finance_and_Accounting_General_CFO_with_Fund_Raising___IPO,General CFO with Fund Raising / IPO
6,Finance & Accounting,General,"GM Finance / Financial Controller 10,000 Cr+",10 - 15 years,80 - 110,"Finance_and_Accounting_General_GM_Finance___Financial_Controller_10,000_Cr+","General GM Finance / Financial Controller 10,000 Cr+"
7,Finance & Accounting,General,"GM Finance / Financial Controller 10,000 Cr+",15+ years,100 - 225,"Finance_and_Accounting_General_GM_Finance___Financial_Controller_10,000_Cr+","General GM Finance / Financial Controller 10,000 Cr+"
8,Finance & Accounting,General,"GM Finance / Financial Controller 1,000 Cr - 10,000 Cr",10 - 15 years,40 - 80,"Finance_and_Accounting_General_GM_Finance___Financial_Controller_1,000_Cr_-_10,000_Cr","General GM Finance / Financial Controller 1,000 Cr - 10,000 Cr"
9,Finance & Accounting,General,"GM Finance / Financial Controller 1,000 Cr - 10,000 Cr",15+ years,50 - 120,"Finance_and_Accounting_General_GM_Finance___Financial_Controller_1,000_Cr_-_10,000_Cr","General GM Finance / Financial Controller 1,000 Cr - 10,000 Cr"
10,Finance & Accounting,General,Finance Manager,3 - 5 years,18 - 32,Finance_and_Accounting_General_Finance_Manager,General Finance Manager
11,Finance & Accounting,General,Finance Manager,5 - 10 years,20 - 60,Finance_and_Accounting_General_Finance_Manager,General Finance Manager
12,Finance & Accounting,General,Finance Manager,10 - 15 years,28 - 65,Finance_and_Accounting_General_Finance_Manager,General Finance Manager
13,Finance & Accounting,General,Finance Manager,15+ years,32 - 65,Finance_and_Accounting_General_Finance_Manager,General Finance Manager
14,Finance & Accounting,Specialist,Chief Investment Officer (Family Office),3 - 5 years,25 - 35,Finance_and_Accounting_Specialist_Chief_Investment_Officer_(Family_Office),Specialist Chief Investment Officer (Family Office)
15,Finance & Accounting,Specialist,Chief Investment Officer (Family Office),5 - 10 years,30 - 75,Finance_and_Accounting_Specialist_Chief_Investment_Officer_(Family_Office),Specialist Chief Investment Officer (Family Office)
16,Finance & Accounting,Specialist,Chief Investment Officer (Family Office),10 - 15 years,65 - 100,Finance_and_Accounting_Specialist_Chief_Investment_Officer_(Family_Office),Specialist Chief Investment Officer (Family Office)
17,Finance & Accounting,Specialist,Chief Investment Officer (Family Office),15+ years,80 - 200,Finance_and_Accounting_Specialist_Chief_Investment_Officer_(Family_Office),Specialist Chief Investment Officer (Family Office)
18,Finance & Accounting,Specialist,FP&A / Business Controller,3 - 5 years,18 - 32,Finance_and_Accounting_Specialist_FPandA___Business_Controller,Specialist FP&A / Business Controller
19,Finance & Accounting,Specialist,FP&A / Business Controller,5 - 10 years,28 - 65,Finance_and_Accounting_Specialist_FPandA___Business_Controller,Specialist FP&A / Business Controller
20,Finance & Accounting,Specialist,FP&A / Business Controller,10 - 15 years,42 - 90,Finance_and_Accounting_Specialist_FPandA___Business_Controller,Specialist FP&A / Business Controller
21,Finance & Accounting,Specialist,FP&A / Business Controller,15+ years,60 - 150,Finance_and_Accounting_Specialist_FPandA___Business_Controller,Specialist FP&A / Business Controller
