,Category,sub1,sub2,Role,Exp,Range,Display Role
0,Healthcare & Life Sciences,Sales,Pharmaceuticals,Sales_Healthcare_and_Life_Sciences_Sales_Pharmaceuticals,3 - 5 years,10 - 25,Sales in Pharmaceuticals
1,Healthcare & Life Sciences,Sales,Pharmaceuticals,Sales_Healthcare_and_Life_Sciences_Sales_Pharmaceuticals,5 - 10 years,12 - 30,Sales in Pharmaceuticals
2,Healthcare & Life Sciences,Sales,Pharmaceuticals,Sales_Healthcare_and_Life_Sciences_Sales_Pharmaceuticals,10 - 15 years,25 - 55,Sales in Pharmaceuticals
3,Healthcare & Life Sciences,Sales,Pharmaceuticals,Sales_Healthcare_and_Life_Sciences_Sales_Pharmaceuticals,15 - 25 years,30 - 70,Sales in Pharmaceuticals
4,Healthcare & Life Sciences,Sales,Pharmaceuticals,Sales_Healthcare_and_Life_Sciences_Sales_Pharmaceuticals,25+ years,45 - 120,Sales in Pharmaceuticals
5,Healthcare & Life Sciences,Sales,Pharmaceuticals,Sales_(Candidates_with_pedigree)_Healthcare_and_Life_Sciences_Sales_Pharmaceuticals,3 - 5 years,15 - 25,Sales (Candidates with pedigree) in Pharmaceuticals
6,Healthcare & Life Sciences,Sales,Pharmaceuticals,Sales_(Candidates_with_pedigree)_Healthcare_and_Life_Sciences_Sales_Pharmaceuticals,5 - 10 years,25 - 50,Sales (Candidates with pedigree) in Pharmaceuticals
7,Healthcare & Life Sciences,Sales,Pharmaceuticals,Sales_(Candidates_with_pedigree)_Healthcare_and_Life_Sciences_Sales_Pharmaceuticals,10 - 15 years,40 - 90,Sales (Candidates with pedigree) in Pharmaceuticals
8,Healthcare & Life Sciences,Sales,Pharmaceuticals,Sales_(Candidates_with_pedigree)_Healthcare_and_Life_Sciences_Sales_Pharmaceuticals,15 - 25 years,80 - 120,Sales (Candidates with pedigree) in Pharmaceuticals
9,Healthcare & Life Sciences,Sales,Pharmaceuticals,Sales_(Candidates_with_pedigree)_Healthcare_and_Life_Sciences_Sales_Pharmaceuticals,25+ years,100 - 300,Sales (Candidates with pedigree) in Pharmaceuticals
10,Healthcare & Life Sciences,Sales,Medical Devices,Sales_Healthcare_and_Life_Sciences_Sales_Medical_Devices,3 - 5 years,08 - 15,Sales in Medical Devices
11,Healthcare & Life Sciences,Sales,Medical Devices,Sales_Healthcare_and_Life_Sciences_Sales_Medical_Devices,5 - 10 years,15 - 32,Sales in Medical Devices
12,Healthcare & Life Sciences,Sales,Medical Devices,Sales_Healthcare_and_Life_Sciences_Sales_Medical_Devices,10 - 15 years,30 - 60,Sales in Medical Devices
13,Healthcare & Life Sciences,Sales,Medical Devices,Sales_Healthcare_and_Life_Sciences_Sales_Medical_Devices,15 - 25 years,50 - 80,Sales in Medical Devices
14,Healthcare & Life Sciences,Sales,Medical Devices,Sales_Healthcare_and_Life_Sciences_Sales_Medical_Devices,25+ years,70 - 130,Sales in Medical Devices
15,Healthcare & Life Sciences,Sales,Medical Devices,Sales_(Candidates_with_pedigree)_Healthcare_and_Life_Sciences_Sales_Medical_Devices,3 - 5 years,15 - 30,Sales (Candidates with pedigree) in Medical Devices
16,Healthcare & Life Sciences,Sales,Medical Devices,Sales_(Candidates_with_pedigree)_Healthcare_and_Life_Sciences_Sales_Medical_Devices,5 - 10 years,30 - 50,Sales (Candidates with pedigree) in Medical Devices
17,Healthcare & Life Sciences,Sales,Medical Devices,Sales_(Candidates_with_pedigree)_Healthcare_and_Life_Sciences_Sales_Medical_Devices,10 - 15 years,75 - 130,Sales (Candidates with pedigree) in Medical Devices
18,Healthcare & Life Sciences,Sales,Medical Devices,Sales_(Candidates_with_pedigree)_Healthcare_and_Life_Sciences_Sales_Medical_Devices,15 - 25 years,80 - 250,Sales (Candidates with pedigree) in Medical Devices
19,Healthcare & Life Sciences,Sales,Medical Devices,Sales_(Candidates_with_pedigree)_Healthcare_and_Life_Sciences_Sales_Medical_Devices,25+ years,100 - 350,Sales (Candidates with pedigree) in Medical Devices
20,Healthcare & Life Sciences,Marketing,Pharmaceuticals,Marketing_Healthcare_and_Life_Sciences_Marketing_Pharmaceuticals,3 - 5 years,10 - 28,Marketing in Pharmaceuticals
21,Healthcare & Life Sciences,Marketing,Pharmaceuticals,Marketing_Healthcare_and_Life_Sciences_Marketing_Pharmaceuticals,5 - 10 years,12 - 35,Marketing in Pharmaceuticals
22,Healthcare & Life Sciences,Marketing,Pharmaceuticals,Marketing_Healthcare_and_Life_Sciences_Marketing_Pharmaceuticals,10 - 15 years,20 - 50,Marketing in Pharmaceuticals
23,Healthcare & Life Sciences,Marketing,Pharmaceuticals,Marketing_Healthcare_and_Life_Sciences_Marketing_Pharmaceuticals,15 - 25 years,40 - 90,Marketing in Pharmaceuticals
24,Healthcare & Life Sciences,Marketing,Pharmaceuticals,Marketing_Healthcare_and_Life_Sciences_Marketing_Pharmaceuticals,25+ years,60 - 100,Marketing in Pharmaceuticals
25,Healthcare & Life Sciences,Marketing,Pharmaceuticals,Marketing_(Candidates_with_pedigree)_Healthcare_and_Life_Sciences_Marketing_Pharmaceuticals,3 - 5 years,15 - 30,Marketing (Candidates with pedigree) in Pharmaceuticals
