,Category,sub1,sub2,Role,Exp,Range,Display Role
0,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,Head_of_Human_Resources_(Large_Companies)_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,10 - 15 years,90 - 130,Head of Human Resources (Large Companies) in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
1,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,Head_of_Human_Resources_(Large_Companies)_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,15+ years,120 - 300,Head of Human Resources (Large Companies) in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
2,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,Head_of_Human_Resources_(Small_and_Medium-Sized_Companies)_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,5 - 10 years,35 - 60,Head of Human Resources (Small & Medium-Sized Companies) in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
3,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,Head_of_Human_Resources_(Small_and_Medium-Sized_Companies)_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,10 - 15 years,65 - 95,Head of Human Resources (Small & Medium-Sized Companies) in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
4,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,Head_of_Human_Resources_(Small_and_Medium-Sized_Companies)_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,15+ years,80 - 200,Head of Human Resources (Small & Medium-Sized Companies) in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
5,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,HR_Generalist___Business_Partner_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,5 - 10 years,25 - 55,HR Generalist / Business Partner in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
6,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,HR_Generalist___Business_Partner_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,10 - 15 years,45 - 85,HR Generalist / Business Partner in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
7,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,HR_Generalist___Business_Partner_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,15+ years,60 - 120,HR Generalist / Business Partner in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
8,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,Learning_and_Development_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,5 - 10 years,20 - 40,Learning & Development in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
9,Human Resources,Commerce & Industry,Large & Middle-Capital Companies / Listed Organisations,Learning_and_Development_Commerce_and_Industry_Large_and_Middle-Capital_Companies___Listed_Organisations,10 - 15 years,40 - 60,Learning & Development in Commerce & Industry-Large & Middle-Capital Companies / Listed Organisations
