,Category,sub1,Role,Exp,Range,Display Role
0,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Procurement_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,3 - 5 years,18 - 35,Procurement in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
1,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Procurement_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,5 - 10 years,40 - 65,Procurement in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
2,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Procurement_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,10 - 15 years,70 - 100,Procurement in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
3,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Procurement_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,15+ years,100 - 175+,Procurement in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
4,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Logistics_(Transportation_and_Warehousing)_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,3 - 5 years,18 - 30,Logistics (Transportation & Warehousing) in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
5,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Logistics_(Transportation_and_Warehousing)_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,5 - 10 years,30 - 50,Logistics (Transportation & Warehousing) in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
6,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Logistics_(Transportation_and_Warehousing)_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,10 - 15 years,60 - 80,Logistics (Transportation & Warehousing) in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
7,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Logistics_(Transportation_and_Warehousing)_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,15+ years,80 - 120+,Logistics (Transportation & Warehousing) in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
8,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Supply_Chain_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,3 - 5 years,18 - 32,Supply Chain in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
9,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Supply_Chain_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,5 - 10 years,30 - 70,Supply Chain in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
10,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Supply_Chain_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,10 - 15 years,50 - 100,Supply Chain in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
11,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Supply_Chain_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,15+ years,80 - 200+,Supply Chain in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
12,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Strategic_Sourcing_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,3 - 5 years,18 - 35,Strategic Sourcing in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
13,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Strategic_Sourcing_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,5 - 10 years,40 - 70,Strategic Sourcing in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
14,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Strategic_Sourcing_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,10 - 15 years,65 - 100,Strategic Sourcing in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
15,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Strategic_Sourcing_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,15+ years,90 - 150+,Strategic Sourcing in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
16,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Planning_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,3 - 5 years,18 - 35,Planning in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
17,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Planning_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,5 - 10 years,30 - 70,Planning in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
18,Procurement & Supply Chain,FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates,Planning_FMCG___Retail_and_E-commerce___Logistics_and_Shipping___Top_Business_Graduates,10 - 15 years,50 - 100,Planning in FMCG / Retail & E-commerce / Logistics & Shipping / Top Business Graduates
