,Category,sub1,sub2,Role,Exp,Range,Display Role
0,Technology,GCC / SSC,Mid- to Large-Sized Captive Centres,India Site Head / MD,10 - 15 years,250 - 300,India Site Head / MD
1,Technology,GCC / SSC,Mid- to Large-Sized Captive Centres,India Site Head / MD,15 - 20 years,300 - 500,India Site Head / MD
2,Technology,GCC / SSC,Mid- to Large-Sized Captive Centres,Infrastructure / Cloud / Digital Workplace,5 - 10 years,35 - 55,Infrastructure / Cloud / Digital Workplace
3,Technology,GCC / SSC,Mid- to Large-Sized Captive Centres,Infrastructure / Cloud / Digital Workplace,10 - 15 years,55 - 80,Infrastructure / Cloud / Digital Workplace
4,Technology,GCC / SSC,Mid- to Large-Sized Captive Centres,Infrastructure / Cloud / Digital Workplace,15 - 20 years,80 - 125,Infrastructure / Cloud / Digital Workplace
5,Technology,GCC / SSC,Mid- to Large-Sized Captive Centres,Infrastructure / Cloud / Digital Workplace,20+ years,125 - 200,Infrastructure / Cloud / Digital Workplace
6,Technology,GCC / SSC,Mid- to Large-Sized Captive Centres,Application / ERP,5 - 10 years,30 - 50,Application / ERP
7,Technology,GCC / SSC,Mid- to Large-Sized Captive Centres,Application / ERP,10 - 15 years,50 - 75,Application / ERP
8,Technology,GCC / SSC,Mid- to Large-Sized Captive Centres,Application / ERP,15 - 20 years,75 - 100,Application / ERP
9,Technology,GCC / SSC,Mid- to Large-Sized Captive Centres,Application / ERP,20+ years,100 - 200,Application / ERP
10,Technology,GCC / SSC,Mid- to Large-Sized Captive Centres,Data Security / Information Security / Cyber Security,5 - 10 years,35 - 50,Data Security / Information Security / Cyber Security
11,Technology,GCC / SSC,Mid- to Large-Sized Captive Centres,Data Security / Information Security / Cyber Security,10 - 15 years,50 - 75,Data Security / Information Security / Cyber Security
12,Technology,GCC / SSC,Mid- to Large-Sized Captive Centres,Data Security / Information Security / Cyber Security,15 - 20 years,75 - 120,Data Security / Information Security / Cyber Security
13,Technology,GCC / SSC,Mid- to Large-Sized Captive Centres,Data Security / Information Security / Cyber Security,20+ years,120 - 225,Data Security / Information Security / Cyber Security
14,Technology,GCC / SSC,Mid- to Large-Sized Captive Centres,Service Delivery / IT Operations / PMO,5 - 10 years,25 - 45,Service Delivery / IT Operations / PMO
15,Technology,GCC / SSC,Mid- to Large-Sized Captive Centres,Service Delivery / IT Operations / PMO,10 - 15 years,45 - 80,Service Delivery / IT Operations / PMO
