,Category,sub1,sub2,Role,Exp,Range,Display Role
0,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),3 - 5 years,25 - 32,Sales / Channel Management in Consumer Goods (FMCG)
1,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),5 - 10 years,30 - 85,Sales / Channel Management in Consumer Goods (FMCG)
2,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),10 - 15 years,70 - 130,Sales / Channel Management in Consumer Goods (FMCG)
3,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),15 - 22 years,100 - 200,Sales / Channel Management in Consumer Goods (FMCG)
4,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),22+ years,120 - 300,Sales / Channel Management in Consumer Goods (FMCG)
5,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),3 - 5 years,25 - 36,E-commerce in Consumer Goods (FMCG)
6,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),5 - 10 years,35 - 90,E-commerce in Consumer Goods (FMCG)
7,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),10 - 15 years,90 - 120,E-commerce in Consumer Goods (FMCG)
8,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Brand___Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),3 - 5 years,25 - 32,Brand / Category Management in Consumer Goods (FMCG)
9,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Brand___Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),5 - 10 years,30 - 85,Brand / Category Management in Consumer Goods (FMCG)
10,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Brand___Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),10 - 15 years,70 - 130,Brand / Category Management in Consumer Goods (FMCG)
11,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Brand___Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),15 - 22 years,100 - 200,Brand / Category Management in Consumer Goods (FMCG)
12,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Brand___Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),22+ years,120 - 300,Brand / Category Management in Consumer Goods (FMCG)
13,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Digital_Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),3 - 5 years,25 - 38,Digital Marketing in Consumer Goods (FMCG)
14,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Digital_Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),5 - 10 years,30 - 60,Digital Marketing in Consumer Goods (FMCG)
15,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Digital_Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),10 - 15 years,70 - 140,Digital Marketing in Consumer Goods (FMCG)
16,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Communications___PR___CSR_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),3 - 5 years,20 - 30,Communications / PR / CSR in Consumer Goods (FMCG)
17,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Communications___PR___CSR_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),5 - 10 years,25 - 50,Communications / PR / CSR in Consumer Goods (FMCG)
18,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Communications___PR___CSR_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),10 - 15 years,40 - 70,Communications / PR / CSR in Consumer Goods (FMCG)
19,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Communications___PR___CSR_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),15 - 22 years,60 - 120,Communications / PR / CSR in Consumer Goods (FMCG)
20,Sales & Marketing,Consumer Goods (FMCG),Candidates with Pedigree (Top 20 B-Schools),Communications___PR___CSR_Sales_and_Marketing_Consumer_Goods_(FMCG)_Candidates_with_Pedigree_(Top_20_B-Schools),22+ years,70 - 180,Communications / PR / CSR in Consumer Goods (FMCG)
21,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Sales_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,3 - 5 years,08 - 20,Sales (Candidates with Pedigree) in Consumer Goods (FMCG)
22,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Sales_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,5 - 10 years,18 - 40,Sales (Candidates with Pedigree) in Consumer Goods (FMCG)
23,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Sales_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,10 - 15 years,25 - 75,Sales (Candidates with Pedigree) in Consumer Goods (FMCG)
24,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Sales_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,15+ years,60 - 120,Sales (Candidates with Pedigree) in Consumer Goods (FMCG)
25,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,3 - 5 years,08 - 20,Marketing (Candidates with Pedigree) in Consumer Goods (FMCG)
26,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,5 - 10 years,18 - 40,Marketing (Candidates with Pedigree) in Consumer Goods (FMCG)
27,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,10 - 15 years,25 - 60,Marketing (Candidates with Pedigree) in Consumer Goods (FMCG)
28,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_(Candidates_with_Pedigree)_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,15+ years,50 - 100,Marketing (Candidates with Pedigree) in Consumer Goods (FMCG)
29,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Sales_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,3 - 5 years,05 - 12,Sales in Consumer Goods (FMCG)
30,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Sales_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,5 - 10 years,10 - 20,Sales in Consumer Goods (FMCG)
31,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Sales_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,10 - 15 years,15 - 30,Sales in Consumer Goods (FMCG)
32,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Sales_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,15+ years,25 - 75,Sales in Consumer Goods (FMCG)
33,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,3 - 5 years,05 - 10,Marketing in Consumer Goods (FMCG)
34,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,5 - 10 years,08 - 15,Marketing in Consumer Goods (FMCG)
35,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,10 - 15 years,15 - 25,Marketing in Consumer Goods (FMCG)
36,Sales & Marketing,Consumer Goods (FMCG),Pharmaceuticals,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Pharmaceuticals,15+ years,20 - 60,Marketing in Consumer Goods (FMCG)
